,Name,Role,Real_Name,Attr,Gender,Race,Appearance
48,Crab_People,Other characters,Crab People,Monsters,Male,Alien Crabs,South Park is Gay!
49,Terrance_and_Phillip,Other characters,Terrance and Phillip,Fictional Celebrities,Male,Unknown,Death
50,Gerald_Broflovski,Other characters,Gerald Broflovski,Uncategorized,Male,Caucasian,Cartman Gets an Anal Probe
51,Jessica_Rodriguez,Other characters,Jessica Rodriguez,Uncategorized,Female,Latino-American,South Park: The Stick of Truth
52,Randy_Marsh,Other characters,Randy Marsh,Uncategorized,Male,Unknown,Volcano
53,Minister_of_Montreal,Other characters,Minister of Montreal,Uncategorized,Male,Caucasian,South Park: The Stick of Truth
54,Linda_Stotch,Other characters,Linda Stotch,Uncategorized,Female,Caucasian,The Wacky Molestation Adventure
55,Chinpokomon_(Brand),Other characters,Chinpokomon (Brand),Uncategorized,Unknown,Unknown,Unknown
56,Father_Maxi,Other characters,Father Maxi,Uncategorized,Male,Caucasian,"Mr. Hankey, the Christmas Poo"
57,Rick_the_Mountie,Other characters,Rick the Mountie,Uncategorized,Male,Canadian,It's Christmas in Canada
58,Morgan_Freeman,Other characters,Morgan Freeman,Uncategorized,Male,Unknown,The Tale of Scrotie McBoogerballs
59,Chris,Other characters,Chris,Uncategorized,Male,Unknown,Do the Handicapped Go to Hell?
60,Midget_Wearing_a_Bikini,Other characters,Midget Wearing a Bikini,Uncategorized,Male,Unknown,Pinkeye
61,Kevin_Stoley,Other characters,Kevin Stoley,4th Graders,Male,Chinese-American,Cartman Gets an Anal Probe
62,Sparrow_Prince,Other characters,Sparrow Prince,Animals,Male,Sparrow,The Death Camp of Tolerance
63,Catatafish,Other characters,Catatafish,Animals,Male,Catfish<br>Ghost,The Death Camp of Tolerance
64,Dr._Poonlover,Other characters,Dr. Poonlover,Uncategorized,Male,Unknown,South Park: The Stick of Truth
65,Skeeter,Other characters,Skeeter,Uncategorized,Male,Unknown,Cartman's Mom is a Dirty Slut
66,Sparky,Other characters,Sparky,Animals,Male,Dog,Big Gay Al's Big Gay Boat Ride
67,Nurse_Fran,Other characters,Nurse Fran,Uncategorized,Female,Caucasian,Mr. Garrison's Fancy New Vagina
68,Amber_Hankey,Other characters,Amber Hankey,Uncategorized,Female,Unknown,A Very Crappy Christmas
69,Quaid,Other characters,Quaid,Kindergartners,Male,Unknown,Trapper Keeper
70,Feldspar_the_Thief,Land of Zaron,Feldspar the Thief,Monsters,Male,Unknown,Black Friday
71,Millie_Larsen,Land of Zaron,Millie Larsen,4th Graders,Female,Unknown,Rainforest Shmainforest
72,Esther,Land of Zaron,Esther,4th Graders,Female,Caucasian,Rainforest Shmainforest
73,DogPoo_Petuski,Land of Zaron,DogPoo Petuski,4th Graders,Male,Caucasian,The Unaired Pilot
74,Monica_Ryland,Land of Zaron,Monica Ryland,4th Graders,Female,Unknown,"Let Go, Let Gov"
75,Timmy_Burch,Land of Zaron,Timmy Burch,4th Graders,Male,Unknown,The Tooth Fairy Tats 2000
76,Tammy_Nelson,Land of Zaron,Tammy Nelson,4th Graders,Female,Unknown,Quest for Ratings
77,Bebe_Stevens,Land of Zaron,Bebe Stevens,4th Graders,Female,Unknown,Cartman Gets an Anal Probe
78,Lola,Land of Zaron,Lola,4th Graders,Female,Unknown,Chinpokomon
79,Goth_Kids,Land of Zaron,Goth Kids,Groups and Cliques,Male,Unknown,Unknown
80,Red_McArthur,Land of Zaron,Red,4th Graders,Female,Caucasian,Cartman Gets an Anal Probe
81,Tweek_Tweak,Land of Zaron,Tweek Tweak,4th Graders,Male,Caucasian,Gnomes
82,Jenny_Simons,Land of Zaron,Jenny Simons,4th Graders,Female,Caucasian,The List
83,Jason_White,Land of Zaron,Jason White,4th Graders,Male,Caucasian,The Unaired Pilot
84,Nelly,Land of Zaron,Nelly,4th Graders,Female,Caucasian,Free Willzyx
85,Wendy_Testaburger,Land of Zaron,Wendy Testaburger,4th Graders,Female,Caucasian,The Spirit of Christmas#Jesus vs. Santa|The Spirit of Christmas: Jesus vs. Santa
86,Allie_Nelson,Land of Zaron,Allie Nelson,4th Graders,Female,Unknown,The List
87,Isla,Land of Zaron,Isla,Uncategorized,Female,Unknown,Marjorine
88,Kingdom_of_Kupa_Keep,Land of Zaron,Kingdom of Kupa Keep,Uncategorized,Unknown,Unknown,Unknown
89,Emily_Marx,Land of Zaron,Emily,4th Graders,Female,Caucasian,Marjorine
90,Heidi_Turner,Land of Zaron,Heidi Turner,4th Graders,Female,Caucasian,Rainforest Shmainforest
91,Mr._Kitty,Land of Zaron,Mr. Kitty,Animals,Unknown,Cat,The Unaired Pilot
92,Meagan_Ridley,Land of Zaron,Meagan Ridley,4th Graders,Female,Caucasian,Super Fun Time
93,Scott_Malkinson,Land of Zaron,Scott Malkinson,4th Graders,Male,Unknown,The Jeffersons
94,Token_Black,Land of Zaron,Token Black,4th Graders,Male,African-American,Cartman Gets an Anal Probe
95,Theresa,Land of Zaron,Theresa,Uncategorized,Female,Caucasian,The List
96,Girl_with_Blonde_Hair,Land of Zaron,Girl with Blonde Hair,Monsters,Female,Unknown,The List
97,Annie_Knitts,Land of Zaron,Annie Knitts,4th Graders,Female,Unknown,Cartman Gets an Anal Probe
98,Bradley_Biggle,Land of Zaron,Bradley Biggle,Aliens,Male,Alien (disguised as a human),Rainforest Shmainforest
99,Chris_Donnely,Land of Zaron,Chris Donnely,4th Graders,Male,Unknown,Black Friday
100,Drow_Elves,Land of Zaron,Drow Elves,Uncategorized,Unknown,Unknown,Unknown
101,Clyde_Donovan,Land of Zaron,Clyde Donovan,4th Graders,Male,Unknown,Cartman Gets an Anal Probe
102,Gary_Nelson_(Ginger_Kid),Enemies,Gary Nelson (Ginger Kid),Uncategorized,Male,Unknown,Ginger Kids
103,South_Park_Vampire_Society,Enemies,South Park Vampire Society,Groups and Cliques,Male,Unknown,Unknown
104,Jake_(The_Stick_of_Truth),Enemies,Jake (The Stick of Truth),5th-9th Graders,Male,Unknown,South Park: The Stick of Truth
105,Visitors,Enemies,Visitors,Aliens,Unknown,Alien,Cartman Gets an Anal Probe
106,Underpants_Gnomes,Enemies,Underpants Gnomes,Monsters,Male,Unknown,Unknown
107,Mongolians,Enemies,Mongolians,Historical Celebrities,Male,Mongol,Child Abduction is Not Funny
108,Shelly_Marsh,Enemies,Shelly Marsh,5th-9th Graders,Female,Unknown,An Elephant Makes Love to a Pig
109,Bishop_of_Banff,Enemies,Bishop of Banff,Uncategorized,Male,Unknown,Royal Pudding
110,Security_Guard,Enemies,Security Guard,Uncategorized,Male,Unknown,Something You Can Do with Your Finger
111,Al_Gore,Enemies,Al Gore,Political Celebrities,Male,Unknown,The Red Badge of Gayness
112,"Jerome_""Chef""_McElroy",Enemies,"Jerome ""Chef"" McElroy",School Faculty,Male,African-American,Cartman Gets an Anal Probe
113,Kenny_McCormick,Enemies,Kenny McCormick,4th Graders,Male,Caucasian,The Spirit of Christmas#Jesus vs. Frosty|The Spirit of Christmas: Jesus vs. Frosty
114,Benny,Enemies,Benny,Uncategorized,Male,Unknown,Margaritaville
115,Bully_Girls,Enemies,Bully Girls,5th-9th Graders,Female,Unknown,South Park: The Stick of Truth
116,Mr._Mackey,Merchants,Mr. Mackey,School Faculty,Male,Caucasian,"Mr. Hankey, the Christmas Poo"
117,Richard_Tweak,Merchants,Richard Tweak,Uncategorized,Male,Unknown,Gnomes
118,Tuong_Lu_Kim,Merchants,Tuong Lu Kim,Monsters,Male,Caucasian (Posing as Chinese),Jared Has Aides
119,Jimbo_Kern,Merchants,Jimbo Kern,Uncategorized,Male,Unknown,Cartman Gets an Anal Probe
120,Homeless_Merchant,Merchants,Homeless Merchant,Uncategorized,Male,Caucasian,South Park: The Stick of Truth
121,Sharon_Marsh,Merchants,Sharon Marsh,Uncategorized,Female,Unknown,An Elephant Makes Love to a Pig
122,Jimmy_Valmer,Playable Characters,Jimmy Valmer,4th Graders,Male,Unknown,Cripple Fight
123,Stan_Marsh,Playable Characters,Stan Marsh,4th Graders,Male,Unknown,The Spirit of Christmas#Jesus vs. Frosty|The Spirit of Christmas: Jesus vs. Frosty
124,The_New_Kid,Playable Characters,The New Kid,Uncategorized,Unknown,Determinant,South Park: The Stick of Truth
125,Eric_Cartman,Playable Characters,Eric Cartman,4th Graders,Male,Caucasian,The Spirit of Christmas#Jesus vs. Frosty|The Spirit of Christmas: Jesus vs. Frosty
126,Butters_Stotch,Playable Characters,Butters Stotch,Monsters,Male,Unknown,Cartman Gets an Anal Probe
127,Kyle_Broflovski,Playable Characters,Kyle Broflovski,4th Graders,Male,Unknown,The Spirit of Christmas#Jesus vs. Frosty|The Spirit of Christmas: Jesus vs. Frosty
128,Mr._Slave,Summons,Mr. Slave,School Faculty,Male,Unknown,The Death Camp of Tolerance
129,Jesus_Christ,Summons,Jesus Christ,Religious Figures,Male,Unknown,The Spirit of Christmas#Jesus vs. Frosty|The Spirit of Christmas: Jesus vs. Frosty
130,Mr._Hankey,Summons,Mr. Hankey,Uncategorized,Male,Feces,"Mr. Hankey, the Christmas Poo"
131,Calvin,Not in the game,Calvin,1st-3rd Graders,Male,Caucasian,Prehistoric Ice Man
132,Junichi_Takiyama,Not in the game,Junichi Takiyama,Uncategorized,Male,Japanese,HUMANCENTiPAD
133,George_Clooney,Not in the game,George Clooney,Uncategorized,Male,Caucasian,Big Gay Al's Big Gay Boat Ride
134,Steve_Jobs,Not in the game,Steve Jobs,Business Celebrities,Male,Unknown,The Entity
135,Kevin_James,Not in the game,Kevin James,Uncategorized,Male,Caucasian,Funnybot
136,PC_Principal,Not in the game,PC Principal,School Faculty,Male,Caucasian,Stunning and Brave
137,Sarah_Flannigan,Not in the game,Sarah Flannigan,Uncategorized,Female,Unknown,Unknown
138,Cash_For_Gold_Sign_Holders,Not in the game,Cash For Gold Sign Holders,Monsters,Male,Unknown,Unknown
139,Maury_Povich,Not in the game,Maury Povich,Television‎ Celebrities,Male,Caucasian,Freak Strike
140,Skyler_Morse,Not in the game,Skyler Morse,Uncategorized,Male,Unknown,Cat Orgy
141,Herbert_Pocket,Not in the game,Pocket,Uncategorized,Male,Caucasian,Pip
142,Ginger_Cow_(Animal),Not in the game,Ginger Cow (Animal),Animals,Male,Cattle,Ginger Cow
143,Michael_Moore,Not in the game,Michael Moore,Political Celebrities,Male,Caucasian,1%
144,GS-401,Not in the game,GS-401,Monsters,Male,Towel,Towelie
145,Cesar_Millan,Not in the game,Cesar Millan,Television‎ Celebrities,Male,Latino-American,Tsst
146,Terry_Gilliam,Not in the game,Terry Gilliam,Uncategorized,Male,Caucasian,Dead Friend Sketch
147,George_Washington,Not in the game,George Washington,Uncategorized,Male,Unknown,Tegridy Farms (Short)
148,James_Harden,Not in the game,James Harden,Sports Celebrities,Male,African-American,Band in China
149,Tugger,Not in the game,Tugger,Uncategorized,Male,Tugboat,The New Terrance and Phillip Movie Trailer
150,Turd_Sandwich,Not in the game,Turd Sandwich,Monsters,Male,Unknown,Douche and Turd
151,Danny_Ray_Johnson,Not in the game,Danny Ray Johnson,4th Graders,Male,Unknown,Shots
152,Dom_DeLuise,Not in the game,Dom DeLuise,Uncategorized,Male,Caucasian,Dead Celebrities
153,Ron_Zappolo,Not in the game,Ron Zappolo,Television‎ Celebrities,Male,Unknown,Guitar Queer-O
154,Allison,Not in the game,Allison,Uncategorized,Female,Caucasian,D-Yikes!
155,Tumon,Not in the game,Tumon,Uncategorized,Male,Persian,D-Yikes!
156,Elaine,Not in the game,Elaine,Uncategorized,Female,Caucasian,The Entity
157,George_Zimmerman,Not in the game,George Zimmerman,Political Celebrities,Male,Unknown,World War Zimmerman
158,Murderin\'_Murphy,Not in the game,Murderin\' Murphy,Monsters,Unknown,Unknown,Unknown
159,"Unnamed_Couple_(""Starvin\'_Marvin"")",Not in the game,"Unnamed Couple (""Starvin\' Marvin"")",Uncategorized,Unknown,Unknown,Unknown
160,John_D\'Aquino,Not in the game,John D\'Aquino,Uncategorized,Unknown,Unknown,Unknown
161,South_Park,Not in the game,South Park,Uncategorized,Unknown,Unknown,Unknown
162,Teabag,Not in the game,Teabag,Uncategorized,Male,Unknown,Medicinal Fried Chicken
163,Thomas_Turner,Not in the game,Thomas Turner,Uncategorized,Male,Caucasian,Marjorine
164,Bono\'s_Butler,Not in the game,Bono\'s Butler,Uncategorized,Unknown,Unknown,Unknown
165,"Marty_(""Chef\'s_Chocolate_Salty_Balls"")",Not in the game,"Marty (""Chef\'s Chocolate Salty Balls"")",Uncategorized,Unknown,Unknown,Unknown
166,Mr._Biggle,Not in the game,Mr. Biggle,Uncategorized,Male,Caucasian,Unknown
167,Supply_Max_Clerk,Not in the game,Supply Max Clerk,Uncategorized,Female,Caucasian,Crippled Summer
168,The_Baldwins,Not in the game,The Baldwins,Monsters,Male,Unknown,Unknown
169,Vagisil_Pit_Crew,Not in the game,Vagisil Pit Crew,Uncategorized,Unknown,Unknown,Unknown
170,Barbra_Streisand,Not in the game,Barbra Streisand,Monsters,Female,Unknown,Mecha-Streisand
171,Oprah_Winfrey,Not in the game,Oprah Winfrey,Television‎ Celebrities,Female,African-American,Here Comes the Neighborhood
172,Gretchen,Not in the game,Gretchen,Uncategorized,Female,Caucasian,D-Yikes!
173,George_W._Bush,Not in the game,George W. Bush,Uncategorized,Male,Caucasian,Super Best Friends
174,French_Canadian_Mime,Not in the game,French Canadian Mime,Monsters,Male,Canadian,It's Christmas in Canada
175,Legion_of_Doom,Not in the game,Legion of Doom,Monsters,Unknown,Unknown,Unknown
176,9th_Grader_with_Purple_Shirt,Not in the game,9th Grader with Purple Shirt,5th-9th Graders,Male,Unknown,Timmy 2000
177,Special_Olympics_Volunteers,Not in the game,Special Olympics Volunteers,Uncategorized,Unknown,Unknown,Unknown
178,Adolf_Hitler,Not in the game,Adolf Hitler,Political Celebrities,Male,Aryan,Pinkeye
179,"Diana,_Princess_of_Wales",Not in the game,"Diana, Princess of Wales",Political Celebrities,Female,Unknown,Mr. Hankey's Christmas Classics
180,Bill_O\'Reilly,Not in the game,Bill O\'Reilly,Uncategorized,Unknown,Unknown,Unknown
181,Nazi_Zombie_Fetuses,Not in the game,Nazi Zombie Fetuses,Monsters,Unknown,Zombies,South Park: The Stick of Truth
182,Child_Labor_Force,Not in the game,Child Labor Force,Uncategorized,Male,Unknown,Unknown
183,Grand_Wizard_Cartman,Not in the game,Grand Wizard Cartman,Uncategorized,Unknown,Unknown,Unknown
184,Bob_Saget,Not in the game,Bob Saget,Television‎ Celebrities,Male,Unknown,Cartman's Mom is a Dirty Slut
185,The_Bard_(Character),Not in the game,The Bard (Character),Monsters,Unknown,Unknown,Unknown
186,South_Park_Inn_Waiter,Not in the game,South Park Inn Waiter,Uncategorized,Male,Caucasian,Cartman Joins NAMBLA
187,Cody,Not in the game,Cody,Uncategorized,Male,Caucasian,Taming Strange
188,"Ryan_(""Taming_Strange"")",Not in the game,"Ryan (""Taming Strange"")",Kindergartners,Male,Unknown,Taming Strange
189,Bob_Ferrin,Not in the game,Bob Ferrin,Uncategorized,Male,Caucasian,Kenny Dies
190,PC_Babies,Not in the game,PC Babies,Uncategorized,Male,Caucasian,The Problem with a Poo
191,Nancy,Not in the game,Nancy,4th Graders,Female,Unknown,Up the Down Steroid
192,Steinburg_&_Burgstein_Receptionist,Not in the game,Steinburg & Burgstein Receptionist,Uncategorized,Unknown,Unknown,Unknown
193,Cartman\'s_Unnamed_Relatives,Not in the game,Cartman\'s Unnamed Relatives,Uncategorized,Unknown,Unknown,Unknown
194,New_Kid_Residence_Intruders,Not in the game,New Kid Residence Intruders,Uncategorized,Male,Unknown,Unknown
195,Tom_Johannsen,Not in the game,Tom Johannsen,Uncategorized,Male,Caucasian,Cartman's Incredible Gift
196,Dick_Dastardly_and_Muttley,Not in the game,Dick Dastardly and Muttley,Monsters,Male,Unknown,Handicar
197,Mike_(Sea_Park_Announcer),Not in the game,Mike (Sea Park Announcer),Uncategorized,Male,Caucasian,Free Willzyx
198,Morticians,Not in the game,Morticians,Uncategorized,Male,Caucasian,Pinkeye
199,Yvonne_Finnerty,Not in the game,Yvonne Finnerty,Television‎ Celebrities,Female,Unknown,Tsst
200,Dental_Floss,Not in the game,Dental Floss,Uncategorized,Male,Caucasian,Royal Pudding
201,Anderson_Cooper,Not in the game,Anderson Cooper,Uncategorized,Male,Caucasian,Ginger Cow
202,Michael_Wilbon,Not in the game,Michael Wilbon,Uncategorized,Male,African-American,Poor and Stupid
203,Babylonians,Not in the game,Babylonians,Uncategorized,Unknown,Unknown,Unknown
204,True_Freaks_Union,Not in the game,True Freaks Union,Monsters,Unknown,Unknown,Unknown
205,Fifi,Not in the game,Fifi,Animals,Female,Dog,Big Gay Al's Big Gay Boat Ride
206,Buddha,Not in the game,Buddha,Religious Figures,Male,Unknown,Super Best Friends
207,Redneck_with_Brown_Shirt,Not in the game,Redneck with Brown Shirt,Uncategorized,Male,Unknown,W.T.F.
208,Tony_Bennett,Not in the game,Tony Bennett,Music Celebrities,Male,Caucasian,HappyHolograms|#HappyHolograms
209,Classi,Not in the game,Classi,Uncategorized,Female,Unknown,PC Principal Final Justice
210,Whole_Foods_Cashier,Not in the game,Whole Foods Cashier,Uncategorized,Male,Caucasian,Safe Space
211,Professor_Lamont,Not in the game,Professor Lamont,School Faculty,Male,Caucasian,Faith Hilling
212,Bill_Donohue,Not in the game,Bill Donohue,Religious Figures,Male,Caucasian,Fantastic Easter Special
213,Mrs._Daniels,Not in the game,Mrs. Daniels,Uncategorized,Female,African-American,Cartman Finds Love
214,Jim_Davis_High_School_Students,Not in the game,Jim Davis High School Students,5th-9th Graders,Male,Unknown,Unknown
215,Mr._Hagen,Not in the game,Mr. Hagen,Uncategorized,Male,Caucasian,Informative Murder Porn
216,Rob_Reiner\'s_Smoke_Stoppers,Not in the game,Rob Reiner\'s Smoke Stoppers,Monsters,Unknown,Unknown,Unknown
217,Coon_and_Friends,Not in the game,Coon and Friends,Monsters,Male,Unknown,Unknown
218,Larry_Feegan,Not in the game,Larry Feegan,Uncategorized,Male,Unknown,Broadway Bro Down
219,Wild_Dogs,Not in the game,Wild Dogs,Uncategorized,Unknown,Dogs,South Park: The Stick of Truth
220,The_Yelper_Boy,Not in the game,The Yelper Boy,Uncategorized,Male,Unknown,Erection Day
221,Belarusian_Farmers,Not in the game,Belarusian Farmers,Monsters,Unknown,Unknown,Unknown
222,Shari_Lewis,Not in the game,Shari Lewis,Television‎ Celebrities,Female,Caucasian,Summer Sucks
223,Kal,Not in the game,Kal,4th Graders,Female,Unknown,Stupid Spoiled Whore Video Playset
224,Adam_Sandler,Not in the game,Adam Sandler,Uncategorized,Male,Caucasian,Funnybot
225,Peter_Nelson,Not in the game,Peter Nelson,Uncategorized,Male,Unknown,"Make Love, Not Warcraft"
226,Cinderella,Not in the game,Cinderella,Monsters,Female,Caucasian,Imaginationland
227,Angela_Merkel,Not in the game,Angela Merkel,Political Celebrities,Female,German,Pinewood Derby
228,Handicapped_Girl_with_Brown_Hair,Not in the game,Handicapped Girl with Brown Hair,Uncategorized,Female,Unknown,Up the Down Steroid
229,Miles_Standish,Not in the game,Miles Standish,Aliens,Male,Alien,A History Channel Thanksgiving
230,Guy_Fieri,Not in the game,Guy Fieri,Uncategorized,Male,Caucasian,Crème Fraiche
231,Jimmy_Buffett,Not in the game,Jimmy Buffett,Music Celebrities,Male,Unknown,Tonsil Trouble
232,Jim_Carrey,Not in the game,Jim Carrey,Television‎ Celebrities,Male,Caucasian,You're Getting Old
233,Jake_Angeli,Not in the game,Jake Angeli,Uncategorized,Male,Caucasian,South ParQ Vaccination Special
234,Kommunity_Kidz,Not in the game,Kommunity Kidz,Groups and Cliques,Male,Unknown,Unknown
235,Afro_Ninja,Not in the game,Afro Ninja,Internet Celebrities,Male,Unknown,Canada on Strike
236,John_Adams,Not in the game,John Adams,Historical Celebrities,Male,Caucasian,I'm a Little Bit Country
237,Justin_Timberlake,Not in the game,Justin Timberlake,Music Celebrities,Male,Caucasian,AWESOM-O
238,Unnamed_Black-Haired_Boy,Not in the game,Unnamed Black-Haired Boy,Uncategorized,Male,Unknown,Guitar Queer-O
239,Steve_(Canadian),Not in the game,Steve (Canadian),Uncategorized,Male,Canadian,It's Christmas in Canada
240,Josh_Carter,Not in the game,Josh Carter,Uncategorized,Male,Caucasian,Unfulfilled
241,New_York_Kids,Not in the game,New York Kids,Uncategorized,Unknown,Unknown,Unknown
242,O.J._Simpson,Not in the game,O.J. Simpson,Criminal Celebrities,Male,Unknown,Butters' Very Own Episode
243,The_Orange_County_Crew,Not in the game,The Orange County Crew,Monsters,Male,Unknown,Unknown
244,Weasel,Not in the game,Weasel,4th Graders,Male,Unknown,The Tooth Fairy Tats 2000
245,David_Sawitzky,Not in the game,David Sawitzky,Uncategorized,Male,Caucasian,A History Channel Thanksgiving
246,Andrew_Sutherland,Not in the game,Andrew Sutherland,4th Graders,Male,Caucasian,Breast Cancer Show Ever
247,David_Perry,Not in the game,David Perry,Uncategorized,Male,Unknown,Board Girls
248,Jasmine,Not in the game,Jasmine,Monsters,Female,Saudi-Arabian,Band in China
249,Nut_Gobbler,Not in the game,Nut Gobbler,Uncategorized,Female,Unknown,Erection Day
250,Allen_Varcas,Not in the game,Allen Varcas,4th Graders,Male,Caucasian,The Losing Edge
251,John_Dickinson,Not in the game,John Dickinson,Historical Celebrities,Male,Caucasian,I'm a Little Bit Country
252,Carrot_Top,Not in the game,Carrot Top,Television‎ Celebrities,Male,Unknown,City on the Edge of Forever (Flashbacks)
253,Lannie,Not in the game,Lannie,Uncategorized,Female,Caucasian,The List
254,Jimmie_Walker,Not in the game,Jimmie Walker,Uncategorized,Male,Unknown,Cancelled
255,Tina_Yothers,Not in the game,Tina Yothers,Television‎ Celebrities,Unknown,Unknown,Pinkeye
256,Mr._Hakeem,Not in the game,Mr. Hakeem,Uncategorized,Male,Middle Eastern,The Snuke
257,Saint_Joseph,Not in the game,Saint Joseph,Religious Figures,Male,Caucasian (Levantine),Mr. Hankey's Christmas Classics
258,Dr._Pal,Not in the game,Dr. Pal,Uncategorized,Male,Unknown,Erection Day
259,Mabel_Gonzalez,Not in the game,Mabel Gonzalez,Uncategorized,Female,Unknown,Turd Burglars
260,Mr._Meryl,Not in the game,Mr. Meryl,School Faculty,Male,Unknown,Quest for Ratings
261,Bakery_Napoleon_Bakers,Not in the game,Bakery Napoleon Bakers,Uncategorized,Unknown,Unknown,Hell on Earth 2006
262,Lonelygirl15,Not in the game,Lonelygirl15,Internet Celebrities,Female,Caucasian,Canada on Strike
263,Lolly_the_Candy_Man,Not in the game,Lolly the Candy Man,Uncategorized,Male,Unknown,A Ladder to Heaven
